exp_number;crackX;crackY;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
0;54.2316;9.56525;0.00000000000000000693889;0.178669;0.339838;0.484819;0.603339;0.707279;0.792318;0.858462;0.905704;0.934043;0.944035
1;125.947;13.1096;0.;0.178667;0.339277;0.481023;0.603845;0.707771;0.799335;0.868086;0.917819;0.946136;0.956128
2;55.5801;10.4106;0.;0.178665;0.339822;0.486196;0.606208;0.710181;0.795219;0.861363;0.908605;0.936944;0.946936
3;21.0162;12.6686;0.;0.192806;0.360446;0.503292;0.626105;0.730048;0.815087;0.881231;0.928472;0.956812;0.966803
4;136.74;8.34734;0.;0.178662;0.339295;0.48101;0.603855;0.707786;0.793153;0.863998;0.905384;0.933644;0.943636
5;45.2895;12.8341;0.;0.178662;0.351345;0.498852;0.624928;0.728835;0.813874;0.880018;0.92726;0.955599;0.96559
6;185.726;2.83227;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792828;0.858963;0.906211;0.937453;0.949962
7;168.137;4.02673;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792827;0.858952;0.908886;0.940393;0.949299
8;88.8781;12.0335;0.;0.178667;0.339278;0.481012;0.608613;0.714466;0.802346;0.868462;0.915711;0.944051;0.954042
9;152.629;9.45654;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.79283;0.86009;0.909609;0.934315;0.944296
10;73.1963;7.20507;0.;0.178662;0.339296;0.48139;0.60868;0.707148;0.792178;0.858318;0.905568;0.933912;0.943903
11;178.661;6.75363;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792829;0.858961;0.906545;0.940046;0.945712
12;136.318;12.9302;0.;0.178667;0.339277;0.481011;0.603844;0.707789;0.792931;0.865316;0.915231;0.943675;0.953659
13;144.484;15.8176;0.;0.178662;0.339295;0.481024;0.603861;0.707797;0.792819;0.868718;0.930974;0.960791;0.97077
14;75.645;6.63549;0.;0.178662;0.339288;0.481103;0.610156;0.708777;0.793708;0.859864;0.907105;0.935449;0.945439
15;151.588;2.78607;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792801;0.861111;0.920081;0.949652;0.959623
16;106.249;5.67917;0.;0.178662;0.339297;0.481026;0.603844;0.711245;0.798509;0.862751;0.910032;0.938375;0.948366
17;125.24;8.94006;0.;0.178662;0.339295;0.48101;0.603857;0.707793;0.797035;0.859157;0.905316;0.933678;0.94367
18;14.0368;7.0162;0.;0.184645;0.33917;0.480867;0.603697;0.707644;0.792682;0.858826;0.906068;0.934407;0.944399
19;15.6493;13.9591;0.;0.200893;0.381861;0.523762;0.646583;0.75053;0.835568;0.901712;0.948954;0.977293;0.987285
20;103.418;6.52619;0.;0.178662;0.339297;0.48101;0.603855;0.712286;0.795035;0.859926;0.907196;0.93554;0.94553
21;183.121;14.1692;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792827;0.858966;0.906133;0.937435;0.945258
22;123.548;11.3537;0.;0.178667;0.339277;0.481023;0.603857;0.70777;0.798877;0.86234;0.910159;0.938494;0.948486
23;189.238;10.6432;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792828;0.858964;0.906224;0.93711;0.952128
24;27.2227;17.6967;-0.00000000000000000693889;0.191556;0.52594;0.660328;0.783255;0.887201;0.97224;1.03838;1.08562;1.11396;1.12396
25;176.194;16.9703;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792829;0.858981;0.905526;0.940568;0.961842
26;63.7611;6.42231;0.;0.178668;0.339262;0.485266;0.607195;0.709556;0.794618;0.860756;0.908007;0.93635;0.946341
27;67.5889;11.602;0.;0.178667;0.339281;0.486961;0.610171;0.716145;0.801168;0.867311;0.914553;0.942893;0.952884
28;25.2915;4.74178;0.;0.184752;0.356717;0.497111;0.619971;0.723914;0.808953;0.875097;0.922338;0.950678;0.960669
29;18.9839;14.6348;0.;0.205846;0.393729;0.536048;0.658863;0.762809;0.847848;0.913991;0.961233;0.989573;0.999564
30;128.904;12.4302;0.;0.178667;0.339277;0.481023;0.603861;0.707784;0.796356;0.864186;0.913994;0.942311;0.952302
31;46.6053;15.6323;0.;0.178676;0.363772;0.542746;0.671538;0.77546;0.860498;0.926642;0.973884;1.00222;1.01221
32;119.952;13.9931;0.;0.178667;0.339277;0.481023;0.603858;0.707772;0.80311;0.877157;0.924927;0.953263;0.963251
33;51.5085;2.86114;0.;0.178586;0.343935;0.51939;0.648081;0.751956;0.836995;0.903138;0.95038;0.97872;0.988711
34;149.006;12.104;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792821;0.86148;0.909368;0.93914;0.949109
35;24.5436;14.5074;0.;0.202559;0.386059;0.531524;0.654322;0.758269;0.843307;0.909451;0.956693;0.985032;0.995024
