exp_number;crackX;crackY;crackExtent;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
0;99.7946;6.26836;7.28409;0;0.1786621172012442;0.3392969625210514;0.4810242233123614;0.6038339878669949;0.7114816505040847;0.7943829976938658;0.860359757756355;0.907608395950873;0.9359517279961574;0.9459425413641922
1;84.0836;17.8823;10.3665;0;0.1786616072643305;0.3392929382508332;0.4811067098859167;0.6306865302827784;0.8501827895478854;0.9322094665448362;0.9983979195993076;1.045634345191171;1.073990990552004;1.083978145563094
2;96.0522;4.97498;15.4544;0;0.1786621195478238;0.339296955228422;0.4809922937762897;0.6061757042257844;0.7240128383490483;0.805327465841537;0.8706715598577708;0.9179406365411666;0.946283140370815;0.9562739541005554
3;97.5396;7.90385;10.2465;0;0.1786621166076879;0.3392970248549354;0.4810258708260925;0.6039801908083149;0.7131668618967035;0.7916512123929776;0.8575964500681841;0.9048426651164372;0.9331859307188128;0.943176744986051
4;85.571;12.845;11.3641;0;0.1786673929401725;0.3392772854357322;0.4810155150363395;0.6144357014655237;0.7213577207548655;0.8102247580754776;0.8763348636756815;0.9235849983678424;0.9519241823924372;0.9619157258606742
5;89.8753;10.7568;14.2624;0;0.1786673898709705;0.3392769647209411;0.4810106214380103;0.6108262234339551;0.7143690608057411;0.7969107685618336;0.8630741915187857;0.9103208558725222;0.938665504249275;0.9486570750328948
6;80.2964;8.63524;15.5473;0;0.1786622437901183;0.3392912540249496;0.481741717870003;0.6155037840983704;0.7076821833215258;0.7904545415091819;0.8566244511236234;0.903871354592296;0.9322140346039662;0.9422048496271322
7;82.8036;8.71705;11.3142;0;0.1786617968343554;0.3392829232135227;0.4810141934110537;0.6098820826140666;0.7072211998434127;0.7910871570843706;0.8572420904228258;0.9044925542362792;0.932835927933834;0.9428267414147178
8;96.6588;8.96879;13.531;0;0.1786621168427908;0.3392970145466515;0.4810144868621798;0.6049988863080809;0.7164431848849382;0.7916463133902849;0.8574517604013226;0.9047080629845102;0.933050654637577;0.9430414691927976
9;90.0551;3.76592;13.6559;0;0.1786352809576584;0.3392787795261033;0.4809655381571041;0.6102283470437737;0.7327805706137982;0.8179939193541856;0.8841155419627645;0.9313674906913542;0.9597192818834962;0.9696801224102148
